date,pnl,cum_pnl,equity
2023-04-13,-667.6999999999988,-667.6999999999988,99332.3
2023-04-14,-943.6750000000013,-1611.375,98388.625
2023-04-17,510.70000000000056,-1100.6749999999995,98899.325
2023-04-18,3932.974999999996,2832.2999999999965,102832.3
2023-04-19,-1733.9000000000021,1098.3999999999944,101098.4
2023-04-20,698.3249999999996,1796.724999999994,101796.72499999999
2023-04-21,-167.524999999998,1629.199999999996,101629.2
2023-04-24,884.9999999999975,2514.1999999999935,102514.2
2023-04-25,-23552.54999999998,-21038.349999999988,78961.65000000001
2023-04-26,8300.175,-12738.174999999988,87261.82500000001
2023-04-27,6979.00000000001,-5759.174999999978,94240.82500000003
2023-04-28,1508.9999999999989,-4250.174999999979,95749.82500000003
2023-05-01,-3026.7249999999976,-7276.899999999977,92723.10000000002
2023-05-02,405.77500000000816,-6871.124999999969,93128.87500000003
2023-05-03,-2806.0250000000083,-9677.149999999978,90322.85000000002
2023-05-04,441.60000000002884,-9235.549999999948,90764.45000000006
2023-05-05,-858.9000000000024,-10094.44999999995,89905.55000000005
2023-05-08,-2560.0749999999985,-12654.524999999949,87345.47500000005
2023-05-09,-5073.074999999992,-17727.59999999994,82272.40000000005
2023-05-10,-211.20000000000056,-17938.79999999994,82061.20000000006
2023-05-11,85.02499999999894,-17853.774999999943,82146.22500000006
2023-05-16,1057.6000000000006,-16796.17499999994,83203.82500000006
2023-05-17,-486.6499999999985,-17282.82499999994,82717.17500000006
2023-05-18,1424.874999999999,-15857.949999999939,84142.05000000006
2023-05-24,-6620.274999999998,-22478.224999999937,77521.77500000007
2023-05-25,-3215.600000000002,-25693.82499999994,74306.17500000006
2023-05-30,-45.72499999999994,-25739.549999999937,74260.45000000007
2023-05-31,2260.2249999999995,-23479.32499999994,76520.67500000006
2023-06-01,5026.300000000002,-18453.024999999936,81546.97500000006
2023-06-07,-295.0750000000003,-18748.099999999937,81251.90000000007
2023-06-14,123.30000000000045,-18624.799999999937,81375.20000000007
2023-06-15,1946.3,-16678.499999999938,83321.50000000006
2023-06-29,328.79999999999956,-16349.699999999939,83650.30000000006
2023-06-30,654.2999999999994,-15695.39999999994,84304.60000000006
2023-07-13,-78.87500000000048,-15774.27499999994,84225.72500000006
2023-07-14,-904.9250000000061,-16679.199999999946,83320.80000000005
2023-07-18,-2489.875000000002,-19169.074999999946,80830.92500000005
2023-07-19,-5275.450000000004,-24444.52499999995,75555.47500000005
2023-07-20,2184.5000000000027,-22260.024999999947,77739.97500000005
2023-07-21,-734.3250000000003,-22994.349999999948,77005.65000000005
2023-07-24,156.10000000000247,-22838.249999999945,77161.75000000006
2023-07-25,-3494.6499999999955,-26332.89999999994,73667.10000000006
2023-07-26,-4982.299999999996,-31315.199999999935,68684.80000000006
2023-07-27,-19945.524999999994,-51260.72499999993,48739.27500000007
2023-07-28,964.9000000000017,-50295.82499999993,49704.17500000007
2023-07-31,-827.4999999999949,-51123.324999999924,48876.675000000076
2023-08-01,-8021.649999999991,-59144.97499999992,40855.02500000008
2023-08-02,-3249.100000000002,-62394.074999999924,37605.925000000076
2023-08-03,-3987.3249999999875,-66381.3999999999,33618.60000000009
